"Notes","County","County Code","2023 Urbanization","2023 Urbanization Code","Year","Year Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Stanislaus County, CA","06099","Medium Metro","3","2018","2018",15,549815,2.7,1.5,4.5
,"Stanislaus County, CA","06099","Medium Metro","3","2019","2019",17,550660,3.1,1.8,4.9
,"Stanislaus County, CA","06099","Medium Metro","3","2020","2020",18,550081,3.3,1.9,5.2
,"Stanislaus County, CA","06099","Medium Metro","3","2021","2021",22,552999,4.0,2.5,6.0
,"Stanislaus County, CA","06099","Medium Metro","3","2022","2022",14,Not Available,Not Available,Not Available,Not Available
,"Stanislaus County, CA","06099","Medium Metro","3","2023","2023",20,Not Available,Not Available,Not Available,Not Available
,"Stanislaus County, CA","06099","Medium Metro","3","2024 ","2024",11,Not Available,Not Available,Not Available,Not Available
,"Tulare County, CA","06107","Medium Metro","3","2021","2021",10,477054,2.1,1.0,3.9
,"Ventura County, CA","06111","Medium Metro","3","2018","2018",39,850967,4.6,3.3,6.3
,"Ventura County, CA","06111","Medium Metro","3","2019","2019",37,846006,4.4,3.1,6.0
,"Ventura County, CA","06111","Medium Metro","3","2020","2020",35,841387,4.2,2.9,5.8
,"Ventura County, CA","06111","Medium Metro","3","2021","2021",46,839784,5.5,4.0,7.3
,"Ventura County, CA","06111","Medium Metro","3","2022","2022",30,Not Available,Not Available,Not Available,Not Available
,"Ventura County, CA","06111","Medium Metro","3","2023","2023",35,Not Available,Not Available,Not Available,Not Available
,"Ventura County, CA","06111","Medium Metro","3","2024 ","2024",29,Not Available,Not Available,Not Available,Not Available
,"Adams County, CO","08001","Large Fringe Metro","2","2018","2018",33,511868,6.4,4.4,9.1
,"Adams County, CO","08001","Large Fringe Metro","2","2019","2019",20,517421,3.9,2.4,6.0
,"Adams County, CO","08001","Large Fringe Metro","2","2020","2020",25,519883,4.8,3.1,7.1
,"Adams County, CO","08001","Large Fringe Metro","2","2021","2021",42,522140,8.0,5.8,10.9
,"Adams County, CO","08001","Large Fringe Metro","2","2022","2022",26,Not Available,Not Available,Not Available,Not Available
,"Adams County, CO","08001","Large Fringe Metro","2","2023","2023",18,Not Available,Not Available,Not Available,Not Available
,"Adams County, CO","08001","Large Fringe Metro","2","2024 ","2024",21,Not Available,Not Available,Not Available,Not Available
,"Arapahoe County, CO","08005","Large Central Metro","1","2018","2018",28,651215,4.3,2.9,6.2
,"Arapahoe County, CO","08005","Large Central Metro","1","2019","2019",32,656590,4.9,3.3,6.9
,"Arapahoe County, CO","08005","Large Central Metro","1","2020","2020",17,657452,2.6,1.5,4.1
,"Arapahoe County, CO","08005","Large Central Metro","1","2021","2021",24,654900,3.7,2.3,5.5
,"Arapahoe County, CO","08005","Large Central Metro","1","2022","2022",24,Not Available,Not Available,Not Available,Not Available
