"Notes","County","County Code","2023 Urbanization","2023 Urbanization Code","Year","Year Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"District of Columbia, DC","11001","Large Central Metro","1","2021","2021",50,670050,7.5,5.5,9.8
,"District of Columbia, DC","11001","Large Central Metro","1","2022","2022",39,Not Available,Not Available,Not Available,Not Available
,"District of Columbia, DC","11001","Large Central Metro","1","2023","2023",43,Not Available,Not Available,Not Available,Not Available
,"District of Columbia, DC","11001","Large Central Metro","1","2024 ","2024",21,Not Available,Not Available,Not Available,Not Available
,"Bay County, FL","12005","Small Metro","4","2019","2019",10,174705,5.7,2.7,10.5
,"Brevard County, FL","12009","Medium Metro","3","2018","2018",24,596849,4.0,2.6,6.0
,"Brevard County, FL","12009","Medium Metro","3","2019","2019",12,601942,2.0,1.0,3.5
,"Broward County, FL","12011","Large Fringe Metro","2","2018","2018",45,1951260,2.3,1.7,3.1
,"Broward County, FL","12011","Large Fringe Metro","2","2019","2019",62,1952778,3.2,2.4,4.1
,"Broward County, FL","12011","Large Fringe Metro","2","2020","2020",61,1958105,3.1,2.4,4.0
,"Broward County, FL","12011","Large Fringe Metro","2","2021","2021",53,1930983,2.7,2.1,3.6
,"Broward County, FL","12011","Large Fringe Metro","2","2022","2022",17,Not Available,Not Available,Not Available,Not Available
,"Citrus County, FL","12017","Small Metro","4","2019","2019",12,149657,8.0,4.1,14.0
,"Clay County, FL","12019","Large Fringe Metro","2","2018","2018",13,216072,6.0,3.2,10.3
,"Collier County, FL","12021","Medium Metro","3","2018","2018",15,378488,4.0,2.2,6.5
,"Collier County, FL","12021","Medium Metro","3","2019","2019",13,384902,3.4,1.8,5.8
,"Collier County, FL","12021","Medium Metro","3","2020","2020",22,392973,5.6,3.5,8.5
,"Collier County, FL","12021","Medium Metro","3","2021","2021",16,385980,4.1,2.4,6.7
,"Duval County, FL","12031","Large Central Metro","1","2018","2018",38,950181,4.0,2.8,5.5
,"Duval County, FL","12031","Large Central Metro","1","2019","2019",41,957755,4.3,3.1,5.8
,"Duval County, FL","12031","Large Central Metro","1","2020","2020",29,966728,3.0,2.0,4.3
,"Escambia County, FL","12033","Medium Metro","3","2018","2018",13,315534,4.1,2.2,7.0
,"Escambia County, FL","12033","Medium Metro","3","2019","2019",18,318316,5.7,3.4,8.9
,"Escambia County, FL","12033","Medium Metro","3","2020","2020",28,322364,8.7,5.8,12.6
,"Escambia County, FL","12033","Medium Metro","3","2021","2021",23,322390,7.1,4.5,10.7
,"Escambia County, FL","12033","Medium Metro","3","2022","2022",14,Not Available,Not Available,Not Available,Not Available
,"Hillsborough County, FL","12057","Large Central Metro","1","2018","2018",96,1436888,6.7,5.4,8.2
,"Hillsborough County, FL","12057","Large Central Metro","1","2019","2019",75,1471968,5.1,4.0,6.4
,"Hillsborough County, FL","12057","Large Central Metro","1","2020","2020",114,1497957,7.6,6.2,9.0
,"Hillsborough County, FL","12057","Large Central Metro","1","2021","2021",43,1478194,2.9,2.1,3.9
,"Hillsborough County, FL","12057","Large Central Metro","1","2022","2022",32,Not Available,Not Available,Not Available,Not Available
,"Hillsborough County, FL","12057","Large Central Metro","1","2023","2023",13,Not Available,Not Available,Not Available,Not Available
,"Lake County, FL","12069","Large Fringe Metro","2","2019","2019",14,367118,3.8,2.1,6.4
,"Lee County, FL","12071","Medium Metro","3","2018","2018",33,754610,4.4,3.0,6.1
,"Lee County, FL","12071","Medium Metro","3","2019","2019",20,770577,2.6,1.6,4.0
,"Lee County, FL","12071","Medium Metro","3","2020","2020",21,790767,2.7,1.6,4.1
,"Manatee County, FL","12081","Medium Metro","3","2019","2019",11,403253,2.7,1.4,4.9
,"Marion County, FL","12083","Medium Metro","3","2018","2018",26,359977,7.2,4.7,10.6
,"Marion County, FL","12083","Medium Metro","3","2019","2019",34,365579,9.3,6.4,13.0
,"Marion County, FL","12083","Medium Metro","3","2020","2020",36,373513,9.6,6.8,13.3
,"Marion County, FL","12083","Medium Metro","3","2021","2021",20,385915,5.2,3.2,8.0
,"Marion County, FL","12083","Medium Metro","3","2022","2022",10,Not Available,Not Available,Not Available,Not Available
,"Miami-Dade County, FL","12086","Large Central Metro","1","2018","2018",52,2761581,1.9,1.4,2.5
,"Miami-Dade County, FL","12086","Large Central Metro","1","2019","2019",52,2716940,1.9,1.4,2.5
,"Miami-Dade County, FL","12086","Large Central Metro","1","2020","2020",34,2707303,1.3,0.9,1.8
,"Miami-Dade County, FL","12086","Large Central Metro","1","2021","2021",12,2662777,0.5,0.2,0.8
,"Miami-Dade County, FL","12086","Large Central Metro","1","2023","2023",10,Not Available,Not Available,Not Available,Not Available
,"Okaloosa County, FL","12091","Medium Metro","3","2018","2018",15,207269,7.2,4.1,11.9
,"Okaloosa County, FL","12091","Medium Metro","3","2020","2020",14,212820,6.6,3.6,11.0
,"Okaloosa County, FL","12091","Medium Metro","3","2021","2021",10,213255,4.7,2.2,8.6
,"Orange County, FL","12095","Large Central Metro","1","2018","2018",46,1380645,3.3,2.4,4.4
,"Orange County, FL","12095","Large Central Metro","1","2019","2019",45,1393452,3.2,2.4,4.3
,"Orange County, FL","12095","Large Central Metro","1","2020","2020",28,1404396,2.0,1.3,2.9
,"Orange County, FL","12095","Large Central Metro","1","2021","2021",14,1422746,1.0,0.5,1.7
,"Orange County, FL","12095","Large Central Metro","1","2022","2022",13,Not Available,Not Available,Not Available,Not Available
,"Osceola County, FL","12097","Large Fringe Metro","2","2018","2018",14,367990,3.8,2.1,6.4
,"Osceola County, FL","12097","Large Fringe Metro","2","2019","2019",14,375751,3.7,2.0,6.3
,"Osceola County, FL","12097","Large Fringe Metro","2","2020","2020",10,385315,2.6,1.2,4.8
,"Palm Beach County, FL","12099","Large Fringe Metro","2","2018","2018",71,1485941,4.8,3.7,6.0
,"Palm Beach County, FL","12099","Large Fringe Metro","2","2019","2019",71,1496770,4.7,3.7,6.0
,"Palm Beach County, FL","12099","Large Fringe Metro","2","2020","2020",55,1507600,3.6,2.7,4.7
,"Palm Beach County, FL","12099","Large Fringe Metro","2","2021","2021",35,1497987,2.3,1.6,3.2
,"Palm Beach County, FL","12099","Large Fringe Metro","2","2022","2022",13,Not Available,Not Available,Not Available,Not Available
,"Pasco County, FL","12101","Large Fringe Metro","2","2019","2019",15,553947,2.7,1.5,4.5
,"Pinellas County, FL","12103","Large Central Metro","1","2018","2018",14,975280,1.4,0.8,2.4
,"Pinellas County, FL","12103","Large Central Metro","1","2019","2019",29,974996,3.0,2.0,4.3
,"Polk County, FL","12105","Medium Metro","3","2019","2019",15,724777,2.1,1.2,3.4
,"Polk County, FL","12105","Medium Metro","3","2020","2020",15,744552,2.0,1.1,3.3
,"Sarasota County, FL","12115","Medium Metro","3","2018","2018",14,426718,3.3,1.8,5.5
,"Sarasota County, FL","12115","Medium Metro","3","2020","2020",14,443465,3.2,1.7,5.3
,"Seminole County, FL","12117","Large Fringe Metro","2","2018","2018",26,467832,5.6,3.6,8.1
,"Seminole County, FL","12117","Large Fringe Metro","2","2019","2019",17,471826,3.6,2.1,5.8
,"Seminole County, FL","12117","Large Fringe Metro","2","2020","2020",17,474171,3.6,2.1,5.7
,"Volusia County, FL","12127","Medium Metro","3","2018","2018",51,547538,9.3,6.9,12.2
,"Volusia County, FL","12127","Medium Metro","3","2019","2019",33,553284,6.0,4.1,8.4
,"Volusia County, FL","12127","Medium Metro","3","2020","2020",43,561497,7.7,5.5,10.3
,"Volusia County, FL","12127","Medium Metro","3","2021","2021",19,564412,3.4,2.0,5.3
,"Volusia County, FL","12127","Medium Metro","3","2022","2022",11,Not Available,Not Available,Not Available,Not Available
,"Carroll County, GA","13045","Large Fringe Metro","2","2021","2021",10,121968,8.2,3.9,15.1
,"Chatham County, GA","13051","Medium Metro","3","2019","2019",14,289430,4.8,2.6,8.1
,"Chatham County, GA","13051","Medium Metro","3","2020","2020",13,289463,4.5,2.4,7.7
,"Cherokee County, GA","13057","Large Fringe Metro","2","2018","2018",10,254149,3.9,1.9,7.2
,"Cherokee County, GA","13057","Large Fringe Metro","2","2020","2020",11,265274,4.1,2.1,7.4
,"Cherokee County, GA","13057","Large Fringe Metro","2","2021","2021",10,274615,3.6,1.7,6.7
,"Cobb County, GA","13067","Large Fringe Metro","2","2018","2018",37,756865,4.9,3.4,6.7
,"Cobb County, GA","13067","Large Fringe Metro","2","2019","2019",36,760141,4.7,3.3,6.6
