"Notes","County","County Code","Single Race 6","Single Race 6 Code","Year","Year Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"New Haven County, CT","09009","Black or African American","2054-5","2019","2019",13,129807,10.0,5.3,17.1
,"New Haven County, CT","09009","Black or African American","2054-5","2020","2020",17,133090,12.8,7.4,20.5
,"New Haven County, CT","09009","White","2106-3","2018","2018",106,665803,15.9,12.9,19.0
,"New Haven County, CT","09009","White","2106-3","2019","2019",132,660695,20.0,16.6,23.4
,"New Haven County, CT","09009","White","2106-3","2020","2020",67,652818,10.3,8.0,13.0
,"New Haven County, CT","09009","White","2106-3","2021","2021",43,657547,6.5,4.7,8.8
,"New Haven County, CT","09009","White","2106-3","2022","2022",37,Not Available,Not Available,Not Available,Not Available
,"New Haven County, CT","09009","White","2106-3","2023","2023",30,Not Available,Not Available,Not Available,Not Available
,"New Haven County, CT","09009","White","2106-3","2024 ","2024",17,Not Available,Not Available,Not Available,Not Available
,"New London County, CT","09011","White","2106-3","2018","2018",15,222998,6.7,3.8,11.1
,"New London County, CT","09011","White","2106-3","2019","2019",13,221603,5.9,3.1,10.0
,"Windham County, CT","09015","White","2106-3","2019","2019",10,107389,9.3,4.5,17.1
,"Kent County, DE","10001","White","2106-3","2018","2018",22,118236,18.6,11.7,28.2
,"Kent County, DE","10001","White","2106-3","2019","2019",11,118674,9.3,4.6,16.6
,"Kent County, DE","10001","White","2106-3","2020","2020",13,119345,10.9,5.8,18.6
,"New Castle County, DE","10003","Black or African American","2054-5","2018","2018",13,146038,8.9,4.7,15.2
,"New Castle County, DE","10003","Black or African American","2054-5","2019","2019",18,147636,12.2,7.2,19.3
,"New Castle County, DE","10003","Black or African American","2054-5","2021","2021",10,155269,6.4,3.1,11.8
,"New Castle County, DE","10003","Black or African American","2054-5","2022","2022",19,158587,12.0,7.2,18.7
,"New Castle County, DE","10003","White","2106-3","2018","2018",85,363728,23.4,18.7,28.9
,"New Castle County, DE","10003","White","2106-3","2019","2019",50,361012,13.8,10.3,18.3
,"New Castle County, DE","10003","White","2106-3","2020","2020",30,358109,8.4,5.7,12.0
,"New Castle County, DE","10003","White","2106-3","2021","2021",30,362239,8.3,5.6,11.8
,"New Castle County, DE","10003","White","2106-3","2022","2022",22,360225,6.1,3.8,9.2
,"Sussex County, DE","10005","White","2106-3","2018","2018",20,190055,10.5,6.4,16.3
,"Sussex County, DE","10005","White","2106-3","2019","2019",21,194389,10.8,6.7,16.5
,"Sussex County, DE","10005","White","2106-3","2020","2020",33,200444,16.5,11.3,23.1
,"Sussex County, DE","10005","White","2106-3","2021","2021",17,205985,8.3,4.8,13.2
,"District of Columbia, DC","11001","Black or African American","2054-5","2018","2018",69,326181,21.2,16.5,26.8
,"District of Columbia, DC","11001","Black or African American","2054-5","2019","2019",80,324484,24.7,19.5,30.7
,"District of Columbia, DC","11001","Black or African American","2054-5","2020","2020",79,324186,24.4,19.3,30.4
,"District of Columbia, DC","11001","Black or African American","2054-5","2021","2021",48,306925,15.6,11.5,20.7
,"District of Columbia, DC","11001","Black or African American","2054-5","2022","2022",36,302568,11.9,8.3,16.5
,"District of Columbia, DC","11001","Black or African American","2054-5","2023","2023",39,301204,12.9,9.2,17.7
,"District of Columbia, DC","11001","Black or African American","2054-5","2024 ","2024",20,304452,6.6,4.0,10.1
,"Bay County, FL","12005","White","2106-3","2019","2019",10,143677,7.0,3.3,12.8
,"Brevard County, FL","12009","White","2106-3","2018","2018",23,496843,4.6,2.9,6.9
,"Brevard County, FL","12009","White","2106-3","2019","2019",12,500589,2.4,1.2,4.2
,"Broward County, FL","12011","White","2106-3","2018","2018",43,1233595,3.5,2.5,4.7
,"Broward County, FL","12011","White","2106-3","2019","2019",56,1231583,4.5,3.4,5.9
,"Broward County, FL","12011","White","2106-3","2020","2020",53,1228459,4.3,3.2,5.6
