"Notes","County","County Code","Single Race 6","Single Race 6 Code","Year","Year Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Sacramento County, CA","06067","White","2106-3","2018","2018",21,970616,2.2,1.3,3.3
,"Sacramento County, CA","06067","White","2106-3","2019","2019",37,973964,3.8,2.7,5.2
,"Sacramento County, CA","06067","White","2106-3","2020","2020",28,965223,2.9,1.9,4.2
,"Sacramento County, CA","06067","White","2106-3","2021","2021",47,976007,4.8,3.5,6.4
,"Sacramento County, CA","06067","White","2106-3","2022","2022",37,964330,3.8,2.7,5.3
,"Sacramento County, CA","06067","White","2106-3","2023","2023",13,955629,1.4,0.7,2.3
,"Sacramento County, CA","06067","White","2106-3","2024 ","2024",21,961031,2.2,1.4,3.3
,"San Bernardino County, CA","06071","White","2106-3","2018","2018",19,1666544,1.1,0.7,1.8
,"San Bernardino County, CA","06071","White","2106-3","2019","2019",18,1668976,1.1,0.6,1.7
,"San Bernardino County, CA","06071","White","2106-3","2020","2020",16,1659869,1.0,0.6,1.6
,"San Bernardino County, CA","06071","White","2106-3","2021","2021",15,1659921,0.9,0.5,1.5
,"San Bernardino County, CA","06071","White","2106-3","2023","2023",13,1642128,0.8,0.4,1.4
,"San Bernardino County, CA","06071","White","2106-3","2024 ","2024",18,1648602,1.1,0.6,1.7
,"San Diego County, CA","06073","White","2106-3","2018","2018",91,2522987,3.6,2.9,4.4
,"San Diego County, CA","06073","White","2106-3","2019","2019",72,2517388,2.9,2.2,3.6
,"San Diego County, CA","06073","White","2106-3","2020","2020",78,2493970,3.1,2.5,3.9
,"San Diego County, CA","06073","White","2106-3","2021","2021",70,2452765,2.9,2.2,3.6
,"San Diego County, CA","06073","White","2106-3","2022","2022",58,2437005,2.4,1.8,3.1
,"San Diego County, CA","06073","White","2106-3","2023","2023",60,2420536,2.5,1.9,3.2
,"San Diego County, CA","06073","White","2106-3","2024 ","2024",39,2426167,1.6,1.1,2.2
,"San Francisco County, CA","06075","Black or African American","2054-5","2020","2020",10,48069,20.8,10.0,38.3
,"San Francisco County, CA","06075","White","2106-3","2018","2018",45,467444,9.6,7.0,12.9
,"San Francisco County, CA","06075","White","2106-3","2019","2019",44,465286,9.5,6.9,12.7
,"San Francisco County, CA","06075","White","2106-3","2020","2020",29,451167,6.4,4.3,9.2
,"San Francisco County, CA","06075","White","2106-3","2021","2021",21,416171,5.0,3.1,7.7
,"San Francisco County, CA","06075","White","2106-3","2022","2022",22,411022,5.4,3.4,8.1
,"San Francisco County, CA","06075","White","2106-3","2023","2023",21,411301,5.1,3.2,7.8
,"San Francisco County, CA","06075","White","2106-3","2024 ","2024",19,419147,4.5,2.7,7.1
,"San Joaquin County, CA","06077","White","2106-3","2019","2019",11,503550,2.2,1.1,3.9
,"San Joaquin County, CA","06077","White","2106-3","2020","2020",28,499698,5.6,3.7,8.1
,"San Joaquin County, CA","06077","White","2106-3","2021","2021",20,509495,3.9,2.4,6.1
,"San Joaquin County, CA","06077","White","2106-3","2022","2022",21,504362,4.2,2.6,6.4
,"San Joaquin County, CA","06077","White","2106-3","2023","2023",19,502198,3.8,2.3,5.9
,"San Joaquin County, CA","06077","White","2106-3","2024 ","2024",11,504785,2.2,1.1,3.9
,"San Luis Obispo County, CA","06079","White","2106-3","2020","2020",18,250107,7.2,4.3,11.4
,"San Luis Obispo County, CA","06079","White","2106-3","2021","2021",17,250298,6.8,4.0,10.9
,"San Luis Obispo County, CA","06079","White","2106-3","2022","2022",16,249123,6.4,3.7,10.4
,"San Luis Obispo County, CA","06079","White","2106-3","2023","2023",16,248574,6.4,3.7,10.5
,"San Mateo County, CA","06081","White","2106-3","2018","2018",25,462008,5.4,3.5,8.0
,"San Mateo County, CA","06081","White","2106-3","2019","2019",22,456050,4.8,3.0,7.3
,"San Mateo County, CA","06081","White","2106-3","2020","2020",14,443390,3.2,1.7,5.3
,"San Mateo County, CA","06081","White","2106-3","2022","2022",12,416520,2.9,1.5,5.0
,"San Mateo County, CA","06081","White","2106-3","2024 ","2024",12,415109,2.9,1.5,5.0
,"Santa Clara County, CA","06085","White","2106-3","2018","2018",29,1028134,2.8,1.9,4.1
,"Santa Clara County, CA","06085","White","2106-3","2019","2019",22,1009277,2.2,1.4,3.3
,"Santa Clara County, CA","06085","White","2106-3","2020","2020",29,974387,3.0,2.0,4.3
,"Santa Clara County, CA","06085","White","2106-3","2021","2021",25,952310,2.6,1.7,3.9
,"Santa Clara County, CA","06085","White","2106-3","2022","2022",34,929262,3.7,2.5,5.1
,"Santa Clara County, CA","06085","White","2106-3","2023","2023",28,923040,3.0,2.0,4.4
,"Santa Clara County, CA","06085","White","2106-3","2024 ","2024",20,922656,2.2,1.3,3.3
,"Santa Cruz County, CA","06087","White","2106-3","2019","2019",10,237679,4.2,2.0,7.7
,"Solano County, CA","06095","White","2106-3","2020","2020",13,263392,4.9,2.6,8.4
,"Sonoma County, CA","06097","White","2106-3","2018","2018",12,434068,2.8,1.4,4.8
,"Sonoma County, CA","06097","White","2106-3","2019","2019",21,428842,4.9,3.0,7.5
