"Notes","County","County Code","Education","Education Code","Year","Year Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Franklin County, OH","39049","Not Available","10","2020","2020",13,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Hamilton County, OH","39061","Not Available","10","2020","2020",12,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Montgomery County, OH","39113","Not Available","10","2019","2019",11,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Tulsa County, OK","40143","Not Available","10","2020","2020",10,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Multnomah County, OR","41051","High school graduate or GED completed","3","2021","2021",10,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Multnomah County, OR","41051","High school graduate or GED completed","3","2024 ","2024",13,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Multnomah County, OR","41051","Not Available","10","2018","2018",17,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Multnomah County, OR","41051","Not Available","10","2019","2019",16,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Multnomah County, OR","41051","Not Available","10","2020","2020",22,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Allegheny County, PA","42003","High school graduate or GED completed","3","2021","2021",23,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Allegheny County, PA","42003","High school graduate or GED completed","3","2022","2022",18,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Allegheny County, PA","42003","High school graduate or GED completed","3","2023","2023",27,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Allegheny County, PA","42003","High school graduate or GED completed","3","2024 ","2024",16,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Allegheny County, PA","42003","Not Available","10","2018","2018",25,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Allegheny County, PA","42003","Not Available","10","2019","2019",31,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Allegheny County, PA","42003","Not Available","10","2020","2020",27,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Montgomery County, PA","42091","Not Available","10","2019","2019",10,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Philadelphia County, PA","42101","High school graduate or GED completed","3","2021","2021",30,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Philadelphia County, PA","42101","High school graduate or GED completed","3","2022","2022",14,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Philadelphia County, PA","42101","High school graduate or GED completed","3","2023","2023",26,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Philadelphia County, PA","42101","High school graduate or GED completed","3","2024 ","2024",32,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Philadelphia County, PA","42101","Unknown or Not Stated","9","2022","2022",10,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Philadelphia County, PA","42101","Unknown or Not Stated","9","2024 ","2024",10,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Philadelphia County, PA","42101","Not Available","10","2018","2018",47,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Philadelphia County, PA","42101","Not Available","10","2019","2019",40,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Philadelphia County, PA","42101","Not Available","10","2020","2020",44,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Providence County, RI","44007","High school graduate or GED completed","3","2021","2021",13,Not Applicable,Not Applicable,Not Applicable,Not Applicable
