"Notes","County","County Code","Education","Education Code","Year","Year Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Alameda County, CA","06001","9th through 12th grade with no diploma","2","2022","2022",25,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alameda County, CA","06001","9th through 12th grade with no diploma","2","2023","2023",32,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alameda County, CA","06001","9th through 12th grade with no diploma","2","2024 ","2024",31,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alameda County, CA","06001","High school graduate or GED completed","3","2021","2021",58,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alameda County, CA","06001","High school graduate or GED completed","3","2022","2022",82,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alameda County, CA","06001","High school graduate or GED completed","3","2023","2023",86,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alameda County, CA","06001","High school graduate or GED completed","3","2024 ","2024",87,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alameda County, CA","06001","Some college credit, but not a degree.","4","2021","2021",24,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alameda County, CA","06001","Some college credit, but not a degree.","4","2022","2022",27,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alameda County, CA","06001","Some college credit, but not a degree.","4","2023","2023",28,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alameda County, CA","06001","Some college credit, but not a degree.","4","2024 ","2024",24,Not Applicable,Not Applicable,Not Applicable,Not Applicable
