"Notes","County","County Code","Sex","Sex Code","Year","Year Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Jefferson County, CO","08059","Male","M","2021","2021",12,291593,4.1,2.1,7.2
,"Jefferson County, CO","08059","Male","M","2022","2022",14,290495,4.8,2.6,8.1
,"Jefferson County, CO","08059","Male","M","2023","2023",17,290060,5.9,3.4,9.4
,"Jefferson County, CO","08059","Male","M","2024 ","2024",15,291178,5.2,2.9,8.5
,"Fairfield County, CT","09001","Female","F","2018","2018",11,484075,2.3,1.1,4.1
,"Fairfield County, CT","09001","Female","F","2020","2020",23,483432,4.8,3.0,7.1
,"Fairfield County, CT","09001","Female","F","2021","2021",14,489296,2.9,1.6,4.8
,"Fairfield County, CT","09001","Female","F","2022","2022",19,Not Available,Not Available,Not Available,Not Available
,"Fairfield County, CT","09001","Female","F","2024 ","2024",13,Not Available,Not Available,Not Available,Not Available
,"Fairfield County, CT","09001","Male","M","2018","2018",21,459748,4.6,2.8,7.0
,"Fairfield County, CT","09001","Male","M","2019","2019",26,459410,5.7,3.7,8.3
,"Fairfield County, CT","09001","Male","M","2020","2020",30,458994,6.5,4.4,9.3
,"Fairfield County, CT","09001","Male","M","2021","2021",23,470472,4.9,3.1,7.3
,"Fairfield County, CT","09001","Male","M","2022","2022",24,Not Available,Not Available,Not Available,Not Available
,"Fairfield County, CT","09001","Male","M","2023","2023",18,Not Available,Not Available,Not Available,Not Available
,"Fairfield County, CT","09001","Male","M","2024 ","2024",19,Not Available,Not Available,Not Available,Not Available
,"Hartford County, CT","09003","Female","F","2018","2018",11,458580,2.4,1.2,4.3
,"Hartford County, CT","09003","Female","F","2019","2019",11,458516,2.4,1.2,4.3
,"Hartford County, CT","09003","Female","F","2020","2020",12,457334,2.6,1.4,4.6
,"Hartford County, CT","09003","Female","F","2021","2021",15,458432,3.3,1.8,5.4
,"Hartford County, CT","09003","Female","F","2022","2022",13,Not Available,Not Available,Not Available,Not Available
